"period","indexName","subIndex","priceChange","totalValue","priceChangeWeighted"
2004-04-01,"Consumer Price Index","Tech II modules",0.735631,14161318532.8871,-0.008352
2004-04-01,"Consumer Price Index","Tech II ships",0.826473,4663400824.8833,-0.001805
2004-04-01,"Mineral Price Index","High-End Minerals",0.973227,204076163688.414,-0.014923
2004-04-01,"Mineral Price Index","Low-End Minerals",0.982934,162051906994.031,-0.007553
2004-04-01,"Primary Producer Price Index","Commodity",1.026853,695184095.4683,0.000212
2004-04-01,"Primary Producer Price Index","Ore",0.996037,13603088528.1228,-0.000613
2004-04-01,"Primary Producer Price Index","Planetary Processed Materials",1.034648,944905208.3567,0.000372
2004-04-01,"Primary Producer Price Index","Planetary Refined Commodities",0.988155,1368623885.1636,-0.000184
2004-04-01,"Primary Producer Price Index","Planetary Specialized Commodities",1.036441,71286070923.3456,0.029554
2004-04-01,"Secondary Producer Price Index","Blueprints",1.00652,53468687003.566,0.000664
2004-04-01,"Secondary Producer Price Index","Commodity",1.001076,460924067287.47,0.000945
2004-04-01,"Secondary Producer Price Index","Planetary Commodities",1.009249,449869007.1336,0.000007
2004-04-01,"Secondary Producer Price Index","Planetary Refined Commodities",1.093317,2984402350.6435,0.00053
2004-04-01,"Secondary Producer Price Index","Planetary Specialized Commodities",0.957553,917768822.4203,-0.000074
2004-04-01,"Secondary Producer Price Index","Tech II construction components",0.655087,5743269573.0808,-0.003776
2004-05-01,"Consumer Price Index","Ammo",0.969401,15863426218.9819,-0.000825
2004-05-01,"Consumer Price Index","Commodity",1.039851,2908530870.9868,0.000197
2004-05-01,"Consumer Price Index","Drones",0.967097,3908310523.2317,-0.000218
2004-05-01,"Consumer Price Index","Implants",1.76339,105948986370.446,0.137554
2004-05-01,"Consumer Price Index","Skills",1.01256,78019169518.1,0.001666
2004-05-01,"Consumer Price Index","Starbase structures",0.96786,7248522450.2306,-0.000396
2004-05-01,"Consumer Price Index","Tech I modules",0.974165,46625825817.5743,-0.002048
2004-05-01,"Consumer Price Index","Tech I ships",0.97285,295998765802.111,-0.013667
2004-05-01,"Consumer Price Index","Tech II modules",0.881368,22690284109.1717,-0.004577
2004-05-01,"Consumer Price Index","Tech II ships",1.001994,8776288324.9958,0.000029
2004-05-01,"Mineral Price Index","High-End Minerals",0.96062,252990925613.056,-0.023065
2004-05-01,"Mineral Price Index","Low-End Minerals",1.007271,178940405926.953,0.003012
2004-05-01,"Primary Producer Price Index","Commodity",1.077802,916785253.735,0.00039
2004-05-01,"Primary Producer Price Index","Ore",1.025133,23146867101.5431,0.003183
2004-05-01,"Primary Producer Price Index","Planetary Processed Materials",1.016399,1460190823.6279,0.000131
2004-05-01,"Primary Producer Price Index","Planetary Refined Commodities",1.037353,1437511178.2513,0.000293
2004-05-01,"Primary Producer Price Index","Planetary Specialized Commodities",1.373329,155755141848.358,0.318241
